IMS_Master__r_Billing_Location__r_Client_from_Parent__c,IMS_Master__r_Billing_Location__r_Job_From_Name__c,IMS_Master__r_Order_Group__c,IMS_Master__r_Product_Name__c,IMS_Master__r_Manufacturer__r_Name,IMS_Master__r_Manufacturer_Number__c,IMS_Master__r_Feature__c,IMS_Master__r_Color__c,IMS_Master__r_IMS_Build__r_Logo_Design_1__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_1__c,IMS_Master__r_IMS_Build__r_Logo_Design_2__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_2__c,IMS_Master__r_IMS_Build__r_Logo_Design_3__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_3__c,IMS_Master__r_IMS_Build__r_Logo_Design_4__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_4__c,Size__c,IMS_Master__r_Class__c,IMS_Master__r_Category__c,IMS_Master__r_Group__c,IMS_Master__r_Sub_Group__c,Id
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",36,Uniform,Clothing,Campus,Specialist,a4bA00000016ab6IAA
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",40,Uniform,Clothing,Campus,Specialist,a4bA00000016ab7IAA
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016aaNIAQ
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016aaOIAQ
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",40,Uniform,Clothing,Campus,Specialist,a4bA00000016ab8IAA
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",42,Uniform,Clothing,Campus,Specialist,a4bA00000016ab9IAA
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",48,Uniform,Clothing,Campus,Specialist,a4bA00000016b0QIAQ
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",9,Uniform,Clothing,Campus,Specialist,a4bA00000016afIIAQ
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",9.5,Uniform,Clothing,Campus,Specialist,a4bA00000016afJIAQ
"Apple, Inc./Mesa","Apple AZ, Mesa","Apple, Inc./Mesa",8" GX Side Zip Gore-Tex Boot,Bates Footwear,H00 2731,"",Black,"","","","","","","","",10,Uniform,Clothing,Campus,Specialist,a4bA00000016afNIAQ
